%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-05-29-08:00:00,1.11666666666667
2013-09-26-15:00:00,0.1
2013-11-15-13:00:00,3.88333333333333
2013-07-19-12:00:00,3
2013-10-09-07:00:00,0.366666666666667
2013-06-27-17:00:00,1.28333333333333
2013-07-23-19:00:00,0.0666666666666667
2013-10-23-10:00:00,1
2013-06-05-11:00:00,2
2013-06-03-18:00:00,2.38333333333333
2013-12-09-11:00:00,1.96666666666667
2013-05-29-14:00:00,0.0333333333333333
2013-07-10-14:00:00,1.73333333333333
2013-09-05-16:00:00,2.35
2013-10-09-16:00:00,2.38333333333333
2013-05-04-12:00:00,1
2013-05-17-11:00:00,3
2013-04-15-17:00:00,0.916666666666667
2013-11-29-11:00:00,2.8
2013-04-22-14:00:00,1
2013-07-24-12:00:00,3.51666666666667
2013-06-17-11:00:00,1.66666666666667
2013-12-27-16:00:00,2.31666666666667
2013-05-14-17:00:00,2.46666666666667
2013-10-03-08:00:00,2.18333333333333
2013-08-22-10:00:00,2
2013-05-11-14:00:00,1
2013-12-06-14:00:00,2.96666666666667
2014-01-04-17:00:00,0.583333333333333
2013-11-20-11:00:00,0.8
2014-01-30-18:00:00,0.316666666666667
2013-07-23-17:00:00,2.25
2013-05-18-09:00:00,0.383333333333333
2013-08-01-18:00:00,0.516666666666667
2013-11-11-14:00:00,2
2014-01-30-14:00:00,3
2013-09-26-13:00:00,2
2013-12-03-17:00:00,1.06666666666667
2013-09-16-16:00:00,1.65
2013-10-09-18:00:00,1.2
2013-10-23-08:00:00,0.7
2014-01-20-14:00:00,2
2013-07-10-08:00:00,1.11666666666667
