"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"4642","8401800","Wyndham Yard","54"
"6706","8401800","Wyndham Yard","54"
"4649","8401801","York Place","57"
"6710","8401801","York Place","57"
"304","8401802","Little Dean's Yard","40"
"305","8401802","Little Dean's Yard","63"
"3660","8401802","Little Dean's Yard","42"
"6180","8401802","Little Dean's Yard","42"
"2416","8401803","Hunts Court","57"
"3508","8401803","Hunts Court","57"
"6101","8401803","Hunts Court","57"
"2425","8401804","Hyde Park Place","50"
"3517","8401804","Hyde Park Place","50"
"5141","8401804","Hyde Park Place","50"
"2549","8401805","Leicester Court","57"
"3634","8401805","Leicester Court","57"
"6166","8401805","Leicester Court","57"
"344","8401806","Lower Robert Street","57"
"3694","8401806","Lower Robert Street","57"
"6200","8401806","Lower Robert Street","57"
"367","8401807","Macclesfield Bridge","75"
"3713","8401807","Macclesfield Bridge","74"
"499","8401808","Moreton Terrace Mews South","2"
"3825","8401808","Moreton Terrace Mews South","2"
"4890","8401808","Moreton Terrace Mews South","2"
"598","8401809","Olympia Yard","14"
"3906","8401809","Olympia Yard","14"
"4973","8401809","Olympia Yard","14"
"685","8401810","Pembroke Terrace","75"
"792","8401811","Queensborough Studios","14"
"4085","8401811","Queensborough Studios","14"
"4996","8401811","Queensborough Studios","14"
"6412","8401812","Regency Place","39"
"4115","8401812","Regency Place","39"
